paradigma,N,tiempo_ms,gflops,max_error
SERIAL,512,277.3021,0.9680,0.000000
OMP_CPU,512,55.1970,4.8632,0.000000e+00
CUDA_NAIVE,512,1.3189,203.5279,0.000000e+00
OMP_GPU,512,2.4488,109.6193,1.281738e-03
SERIAL,1024,6748.3550,0.3182,0.000000
OMP_CPU,1024,1619.6949,1.3259,0.000000e+00
CUDA_NAIVE,1024,10.8022,198.8004,0.000000e+00
OMP_GPU,1024,23.3438,91.9937,4.882812e-03
SERIAL,2048,80663.7971,0.2130,0.000000
OMP_CPU,2048,39785.5670,0.4318,0.000000e+00
CUDA_NAIVE,2048,68.8062,249.6850,0.000000e+00
OMP_GPU,2048,218.1492,78.7528,0.000000e+00
SERIAL,4096,866942.6374,0.1585,0.000000
OMP_CPU,4096,357704.8800,0.3842,0.000000e+00
CUDA_NAIVE,4096,545.7450,251.8373,0.000000e+00
OMP_GPU,4096,1669.1821,82.3391,0.000000e+00
OMP_GPU_CPU,512,51.9119,5.1710,0.000000e+00
OMP_GPU_CPU,1024,420.2568,5.1099,0.000000e+00
OMP_GPU_CPU,2048,3445.5494,4.9861,0.000000e+00
OMP_GPU_CPU,4096,28774.1771,4.7765,0.000000e+00
